threads,iterations,accounts,duration
4,100,10,0
4,100,100,0
4,100,1000,0
4,1000,10,0
4,1000,100,1
4,1000,1000,6
4,10000,10,9
4,10000,100,15
4,10000,1000,61
4,100000,10,87
4,100000,100,148
4,100000,1000,602
4,1000000,10,882
4,1000000,100,1481
4,1000000,1000,6044
12,100,10,0
12,100,100,0
12,100,1000,2
12,1000,10,3
12,1000,100,5
12,1000,1000,19
12,10000,10,32
12,10000,100,55
12,10000,1000,197
12,100000,10,319
12,100000,100,552
12,100000,1000,1973
12,1000000,10,3179
12,1000000,100,5604
12,1000000,1000,19840
24,100,10,0
24,100,100,0
24,100,1000,4
24,1000,10,6
24,1000,100,11
24,1000,1000,40
24,10000,10,64
24,10000,100,113
24,10000,1000,397
24,100000,10,652
24,100000,100,1140
24,100000,1000,3970
24,1000000,10,6552
24,1000000,100,11745
24,1000000,1000,39764
