threads,iterations,accounts,duration
4,100,10,0
4,100,100,0
4,100,1000,1
4,1000,10,0
4,1000,100,1
4,1000,1000,14
4,10000,10,9
4,10000,100,12
4,10000,1000,125
4,100000,10,89
4,100000,100,123
4,100000,1000,1308
4,1000000,10,866
4,1000000,100,1208
4,1000000,1000,12780
12,100,10,0
12,100,100,0
12,100,1000,3
12,1000,10,3
12,1000,100,5
12,1000,1000,50
12,10000,10,29
12,10000,100,55
12,10000,1000,467
12,100000,10,297
12,100000,100,550
12,100000,1000,4731
12,1000000,10,2965
12,1000000,100,5503
12,1000000,1000,47511
24,100,10,0
24,100,100,1
24,100,1000,8
24,1000,10,5
24,1000,100,11
24,1000,1000,98
24,10000,10,60
24,10000,100,112
24,10000,1000,950
24,100000,10,598
24,100000,100,1122
24,100000,1000,9421
24,1000000,10,5969
24,1000000,100,11499
24,1000000,1000,94250
