threads,iterations,accounts,duration
4,100,10,0
4,100,100,0
4,100,1000,0
4,1000,10,1
4,1000,100,1
4,1000,1000,7
4,10000,10,10
4,10000,100,12
4,10000,1000,63
4,100000,10,95
4,100000,100,126
4,100000,1000,641
4,1000000,10,931
4,1000000,100,1244
4,1000000,1000,6253
12,100,10,0
12,100,100,0
12,100,1000,1
12,1000,10,4
12,1000,100,5
12,1000,1000,22
12,10000,10,44
12,10000,100,50
12,10000,1000,200
12,100000,10,437
12,100000,100,503
12,100000,1000,2030
12,1000000,10,4373
12,1000000,100,5132
12,1000000,1000,20222
24,100,10,0
24,100,100,1
24,100,1000,30
24,1000,10,13
24,1000,100,18
24,1000,1000,53
24,10000,10,185
24,10000,100,229
24,10000,1000,598
24,100000,10,1419
24,100000,100,1946
24,100000,1000,5709
24,1000000,10,14252
24,1000000,100,19425
24,1000000,1000,56804
