threads,iterations,accounts,duration
4,100,10,0
4,100,100,0
4,100,1000,0
4,1000,10,1
4,1000,100,1
4,1000,1000,6
4,10000,10,11
4,10000,100,13
4,10000,1000,57
4,100000,10,106
4,100000,100,136
4,100000,1000,567
4,1000000,10,1041
4,1000000,100,1326
4,1000000,1000,5544
12,100,10,0
12,100,100,0
12,100,1000,1
12,1000,10,4
12,1000,100,4
12,1000,1000,12
12,10000,10,38
12,10000,100,41
12,10000,1000,119
12,100000,10,378
12,100000,100,405
12,100000,1000,1190
12,1000000,10,3784
12,1000000,100,4104
12,1000000,1000,11874
24,100,10,0
24,100,100,0
24,100,1000,1
24,1000,10,8
24,1000,100,8
24,1000,1000,19
24,10000,10,81
24,10000,100,82
24,10000,1000,184
24,100000,10,819
24,100000,100,857
24,100000,1000,1870
24,1000000,10,8304
24,1000000,100,8728
24,1000000,1000,18898
