File,N,Threads,Time
phased,1000,1,105
phased,1000,2,209
phased,1000,4,280
phased,1000,8,429
phased,1000,12,500
phased,1000,16,667
phased,10000,1,384
phased,10000,2,692
phased,10000,4,981
phased,10000,8,1252
phased,10000,12,1497
phased,10000,16,1941
phased,100000,1,2585
phased,100000,2,6864
phased,100000,4,9081
phased,100000,8,10938
phased,100000,12,12586
phased,100000,16,13976
phased,1000000,1,25038
phased,1000000,2,69851
phased,1000000,4,90302
phased,1000000,8,108993
phased,1000000,12,124960
phased,1000000,16,134451
phased,10000000,1,247285
phased,10000000,2,666925
phased,10000000,4,905325
phased,10000000,8,1066426
phased,10000000,12,1229815
phased,10000000,16,1331250
phased,100000000,1,2403015
phased,100000000,2,6347323
phased,100000000,4,9034404
phased,100000000,8,10679389
phased,100000000,12,12303412
phased,100000000,16,13487124
phased,1000000000,1,23413136
phased,1000000000,2,63702715
phased,1000000000,4,87868952
phased,1000000000,8,107488004
phased,1000000000,12,123474688
phased,1000000000,16,135978323
sequential,1000,1,7125
sequential,10000,1,7214
sequential,100000,1,7581
sequential,1000000,1,13168
sequential,10000000,1,50949
sequential,100000000,1,414155
sequential,1000000000,1,3975174
shared-mutex,1000,1,5149
shared-mutex,1000,2,5008
shared-mutex,1000,4,5423
shared-mutex,1000,8,6131
shared-mutex,1000,12,6028
shared-mutex,1000,16,6245
shared-mutex,10000,1,5287
shared-mutex,10000,2,6423
shared-mutex,10000,4,7332
shared-mutex,10000,8,7218
shared-mutex,10000,12,6577
shared-mutex,10000,16,7588
shared-mutex,100000,1,7695
shared-mutex,100000,2,14994
shared-mutex,100000,4,20740
shared-mutex,100000,8,22596
shared-mutex,100000,12,21901
shared-mutex,100000,16,23614
shared-mutex,1000000,1,25196
shared-mutex,1000000,2,105369
shared-mutex,1000000,4,163754
shared-mutex,1000000,8,175264
shared-mutex,1000000,12,170862
shared-mutex,1000000,16,173706
shared-mutex,10000000,1,185661
shared-mutex,10000000,2,907732
shared-mutex,10000000,4,1501420
shared-mutex,10000000,8,1626745
shared-mutex,10000000,12,1606220
shared-mutex,10000000,16,1657800
shared-mutex,100000000,1,1647372
shared-mutex,100000000,2,6726295
shared-mutex,100000000,4,14624876
shared-mutex,100000000,8,16209593
shared-mutex,100000000,12,19918440
shared-mutex,100000000,16,23426651
shared-mutex,1000000000,1,16560781
shared-mutex,1000000000,2,83693801
shared-mutex,1000000000,4,147660821
striped,1000,1,377
striped,1000,2,487
striped,1000,4,655
striped,1000,8,923
striped,1000,12,844
striped,1000,16,1086
striped,10000,1,1616
striped,10000,2,1891
striped,10000,4,2369
striped,10000,8,3170
striped,10000,12,2987
striped,10000,16,3081
striped,100000,1,12707
striped,100000,2,14603
striped,100000,4,15255
striped,100000,8,18851
striped,100000,12,21386
striped,100000,16,21439
striped,1000000,1,152476
striped,1000000,2,167875
striped,1000000,4,188572
striped,1000000,8,222210
striped,1000000,12,239907
striped,1000000,16,243874
striped,10000000,1,1036152
striped,10000000,2,1198193
striped,10000000,4,1362276
striped,10000000,8,1670505
striped,10000000,12,1957384
striped,10000000,16,1954681
striped,100000000,1,9986384
striped,100000000,2,11692200
striped,100000000,4,13743487
striped,100000000,8,16318560
striped,100000000,12,18669186
striped,100000000,16,18446119
striped,1000000000,1,107864994
striped,1000000000,2,113533996
striped,1000000000,4,128100348
striped,1000000000,8,153649385
striped,1000000000,12,172532447
striped,1000000000,16,179695319
transactional,1000,1,65003
transactional,1000,2,84153
transactional,1000,4,169690
transactional,1000,8,207874
transactional,1000,12,200903
transactional,1000,16,351891
transactional,1000,24,455753
transactional,10000,1,70829
transactional,10000,2,80746
transactional,10000,4,187173
transactional,10000,8,361242
transactional,10000,12,536700
transactional,10000,16,794071
transactional,10000,24,466482
transactional,100000,1,68973
transactional,100000,2,83558
transactional,100000,4,180531
transactional,100000,8,324351
transactional,100000,12,428003
transactional,100000,16,297399
transactional,100000,24,350225
transactional,1000000,1,131426
transactional,1000000,2,161928
transactional,1000000,4,268937
transactional,1000000,8,267953
transactional,1000000,12,527032
transactional,1000000,16,651452
transactional,1000000,24,415774
transactional,10000000,1,703624
transactional,10000000,2,763097
transactional,10000000,4,798738
transactional,10000000,8,717901
transactional,10000000,12,1075294
transactional,10000000,16,889035
transactional,10000000,24,1087475
transactional,100000000,1,6315092
transactional,100000000,2,7504560
transactional,100000000,4,6509912
transactional,100000000,8,5243620
transactional,100000000,12,4633847
transactional,100000000,16,4215879
transactional,100000000,24,7460194
transactional,1000000000,1,63258174
transactional,1000000000,2,73133367
transactional,1000000000,4,58639294
transactional,1000000000,8,51108990
transactional,1000000000,12,42750536
transactional,1000000000,16,37148053
transactional,1000000000,24,139037811
multi-seq,1000,1,172
multi-seq,1000,2,140
multi-seq,1000,4,170
multi-seq,1000,8,254
multi-seq,1000,12,479
multi-seq,1000,16,477
multi-seq,1000,24,1077
multi-seq,10000,1,6554
multi-seq,10000,2,576
multi-seq,10000,4,758
multi-seq,10000,8,1221
multi-seq,10000,12,846
multi-seq,10000,16,412
multi-seq,10000,24,1273
multi-seq,100000,1,118253
multi-seq,100000,2,40447
multi-seq,100000,4,30432
multi-seq,100000,8,23904
multi-seq,100000,12,22866
multi-seq,100000,16,5201
multi-seq,100000,24,21208
multi-seq,1000000,1,146320
multi-seq,1000000,2,84840
multi-seq,1000000,4,62799
multi-seq,1000000,8,48987
multi-seq,1000000,12,45752
multi-seq,1000000,16,87856
multi-seq,1000000,24,40569
multi-seq,10000000,1,346078
multi-seq,10000000,2,217361
multi-seq,10000000,4,144757
multi-seq,10000000,8,112426
multi-seq,10000000,12,94031
multi-seq,10000000,16,127598
multi-seq,10000000,24,85012
multi-seq,100000000,1,2354507
multi-seq,100000000,2,1515438
multi-seq,100000000,4,946053
multi-seq,100000000,8,697252
multi-seq,100000000,12,581878
multi-seq,100000000,16,528888
multi-seq,100000000,24,548834
multi-seq,1000000000,1,23436794
multi-seq,1000000000,2,14452412
multi-seq,1000000000,4,9028085
multi-seq,1000000000,8,6642625
multi-seq,1000000000,12,5347336
multi-seq,1000000000,16,4166598
multi-seq,1000000000,24,3810755
